ActorID,FirstName,LastName,Gender,BirthDate,Nationality,AwardsCount,Biography
82,Yu-Jin,Jung,Kadın,1982-12-16,Güney Kore,1,Filmografisi geniş ve farklı türlerde eserleri bulunmakta. Derin karakter analizleri ile tanınmaktadır. Çalışmaları pek çok genç sinemacıya ilham kaynağı olmuştur. Uluslararası festivallerde aldığı ödüllerle adından söz ettirdi. Toplumsal meselelere duyarlı projelerde yer almıştır. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi.
83,David,Jones,Erkek,1979-06-03,ABD,7,Uluslararası festivallerde aldığı ödüllerle adından söz ettirdi. Sinema ve tiyatro arasında başarılı bir geçiş yapmıştır. Her filmi büyük bir titizlikle yönetir. Film endüstrisinde yenilikçi tekniklerle öncü olmuştur. Çok yönlü sanatçı kimliği ile tanınır. Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi.
84,Martha,Sánchez,Kadın,1981-08-18,Meksika,4,Filmografisi geniş ve farklı türlerde eserleri bulunmakta. Seslendirme ve dublajda da başarılı çalışmaları vardır. Duygusal yoğunluğu yüksek performanslarıyla övgü toplamıştır.
85,Arjun,Gupta,Erkek,1964-05-09,Hindistan,9,Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi. Sanat hayatında yenilikçi ve cesur çalışmalarıyla tanınır. Filmografisi geniş ve farklı türlerde eserleri bulunmakta. Drama ve komedi türlerinde ustalığını kanıtlamıştır. Duygusal yoğunluğu yüksek performanslarıyla övgü toplamıştır. Film endüstrisinde yenilikçi tekniklerle öncü olmuştur.
86,Michael,Wilson,Erkek,2000-11-21,ABD,2,Film endüstrisinde yenilikçi tekniklerle öncü olmuştur. Film müziklerine özel önem verir ve işbirlikleri yapar. Her filmi büyük bir titizlikle yönetir. Filmografisi geniş ve farklı türlerde eserleri bulunmakta. Klasik ve modern sinemayı harmanlayan özgün bir yönetmendir. Sanat hayatında yenilikçi ve cesur çalışmalarıyla tanınır.
87,Feng,Liu,Erkek,1978-03-16,Çin,1,Çok yönlü sanatçı kimliği ile tanınır. Uluslararası festivallerde aldığı ödüllerle adından söz ettirdi. Doğal oyunculuğu ve sahne hakimiyetiyle izleyiciyi büyüler.
88,Jian,Chen,Erkek,2000-05-22,Çin,4,Yaratıcı yönetmenlik anlayışı ve detaycılığı ile bilinir. Çalışmaları pek çok genç sinemacıya ilham kaynağı olmuştur. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi. Doğal oyunculuğu ve sahne hakimiyetiyle izleyiciyi büyüler. Film müziklerine özel önem verir ve işbirlikleri yapar. Kariyerine genç yaşta başladı ve birçok başarılı projeye imza attı.
89,Zeynep,Öztürk,Kadın,1990-07-22,Türkiye,1,Seslendirme ve dublajda da başarılı çalışmaları vardır. Film endüstrisinde yenilikçi tekniklerle öncü olmuştur. Sinema ve tiyatro arasında başarılı bir geçiş yapmıştır. Filmografisi geniş ve farklı türlerde eserleri bulunmakta. Toplumsal meselelere duyarlı projelerde yer almıştır.
90,Hao,Zhang,Erkek,1976-11-28,Çin,5,Kariyerine genç yaşta başladı ve birçok başarılı projeye imza attı. Yaratıcı yönetmenlik anlayışı ve detaycılığı ile bilinir. Sanat hayatında yenilikçi ve cesur çalışmalarıyla tanınır. Drama ve komedi türlerinde ustalığını kanıtlamıştır.
91,Woo,Kang,Erkek,1999-09-15,Güney Kore,7,Çalışmaları pek çok genç sinemacıya ilham kaynağı olmuştur. Filmografisi geniş ve farklı türlerde eserleri bulunmakta. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi. Kültürel çeşitliliği ve insan hikayelerini işler.
92,Verónica,Sánchez,Kadın,1997-02-28,Meksika,9,Sanat hayatında yenilikçi ve cesur çalışmalarıyla tanınır. Sektörde saygın bir isim olup birçok genç yeteneğe ilham vermiştir. Duygusal yoğunluğu yüksek performanslarıyla övgü toplamıştır.
93,Edward,Taylor,Erkek,1996-05-31,İngiltere,8,Film müziklerine özel önem verir ve işbirlikleri yapar. Sanat hayatında yenilikçi ve cesur çalışmalarıyla tanınır. Derin karakter analizleri ile tanınmaktadır. Çekimleri zorlu coğrafyalarda gerçekleştiren deneyimli bir sanatçıdır.
94,Hina,Yamamoto,Kadın,1996-06-25,Japonya,2,Sektörde saygın bir isim olup birçok genç yeteneğe ilham vermiştir. Sinema ve tiyatro arasında başarılı bir geçiş yapmıştır. Drama ve komedi türlerinde ustalığını kanıtlamıştır. Film endüstrisinde yenilikçi tekniklerle öncü olmuştur.
95,Fen,Liu,Kadın,1957-01-28,Çin,10,Sanat hayatında yenilikçi ve cesur çalışmalarıyla tanınır. Duygusal yoğunluğu yüksek performanslarıyla övgü toplamıştır. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi. Çalışmaları pek çok genç sinemacıya ilham kaynağı olmuştur. Toplumsal meselelere duyarlı projelerde yer almıştır.
96,Lucy,Johnson,Kadın,1965-02-16,İngiltere,2,Seslendirme ve dublajda da başarılı çalışmaları vardır. Çalışmaları pek çok genç sinemacıya ilham kaynağı olmuştur. Çok yönlü sanatçı kimliği ile tanınır. Sektörde saygın bir isim olup birçok genç yeteneğe ilham vermiştir.
97,Juan,Garcia,Erkek,1952-07-18,İspanya,10,Duygusal yoğunluğu yüksek performanslarıyla övgü toplamıştır. Yaratıcı yönetmenlik anlayışı ve detaycılığı ile bilinir. Film müziklerine özel önem verir ve işbirlikleri yapar. Klasik ve modern sinemayı harmanlayan özgün bir yönetmendir. Derin karakter analizleri ile tanınmaktadır.
98,Marta,Sanchez,Kadın,1994-09-06,İspanya,10,Doğal oyunculuğu ve sahne hakimiyetiyle izleyiciyi büyüler. Drama ve komedi türlerinde ustalığını kanıtlamıştır. Seslendirme ve dublajda da başarılı çalışmaları vardır. Kültürel çeşitliliği ve insan hikayelerini işler. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi.
99,Joon,Yoon,Erkek,1955-05-18,Güney Kore,6,Her filmi büyük bir titizlikle yönetir. Yaratıcı yönetmenlik anlayışı ve detaycılığı ile bilinir. Sektörde saygın bir isim olup birçok genç yeteneğe ilham vermiştir. Çalışmaları pek çok genç sinemacıya ilham kaynağı olmuştur. Sanat hayatında yenilikçi ve cesur çalışmalarıyla tanınır. Sinema ve tiyatro arasında başarılı bir geçiş yapmıştır.
100,Jesús,Martínez,Erkek,1980-12-26,Meksika,5,Sektörde saygın bir isim olup birçok genç yeteneğe ilham vermiştir. Drama ve komedi türlerinde ustalığını kanıtlamıştır. Her filmi büyük bir titizlikle yönetir.
101,William,Jones,Erkek,1972-03-29,İngiltere,0,Kültürel çeşitliliği ve insan hikayelerini işler. Çalışmaları pek çok genç sinemacıya ilham kaynağı olmuştur. Derin karakter analizleri ile tanınmaktadır. Drama ve komedi türlerinde ustalığını kanıtlamıştır. Uluslararası festivallerde aldığı ödüllerle adından söz ettirdi.
102,Joseph,Williams,Diğer,1978-01-21,ABD,7,Doğal oyunculuğu ve sahne hakimiyetiyle izleyiciyi büyüler. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi. Film müziklerine özel önem verir ve işbirlikleri yapar. Uzun yıllar sinema sektöründe önemli projelerde yer aldı. Filmografisi geniş ve farklı türlerde eserleri bulunmakta. Kültürel çeşitliliği ve insan hikayelerini işler.
103,Lan,Zhou,Kadın,1971-08-07,Çin,5,Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi. Doğal oyunculuğu ve sahne hakimiyetiyle izleyiciyi büyüler.
104,Isabel,Fernandez,Kadın,1992-03-21,İspanya,0,Derin karakter analizleri ile tanınmaktadır. Sanat hayatında yenilikçi ve cesur çalışmalarıyla tanınır. Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir.
105,Fernando,Hernández,Erkek,1986-03-06,Meksika,6,Klasik ve modern sinemayı harmanlayan özgün bir yönetmendir. Toplumsal meselelere duyarlı projelerde yer almıştır. Yaratıcı yönetmenlik anlayışı ve detaycılığı ile bilinir.
106,Susan,Rodriguez,Kadın,1956-08-06,ABD,7,Çalışmaları pek çok genç sinemacıya ilham kaynağı olmuştur. Seslendirme ve dublajda da başarılı çalışmaları vardır. Kariyerine genç yaşta başladı ve birçok başarılı projeye imza attı. Sanat hayatında yenilikçi ve cesur çalışmalarıyla tanınır. Kültürel çeşitliliği ve insan hikayelerini işler.
107,Sarah,Miller,Kadın,1980-06-03,ABD,2,Çalışmaları pek çok genç sinemacıya ilham kaynağı olmuştur. Çekimleri zorlu coğrafyalarda gerçekleştiren deneyimli bir sanatçıdır. Kültürel çeşitliliği ve insan hikayelerini işler. Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi.
108,Takumi,Shimizu,Erkek,1979-11-18,Japonya,7,Çalışmaları pek çok genç sinemacıya ilham kaynağı olmuştur. Çekimleri zorlu coğrafyalarda gerçekleştiren deneyimli bir sanatçıdır. Sanat hayatında yenilikçi ve cesur çalışmalarıyla tanınır. Sektörde saygın bir isim olup birçok genç yeteneğe ilham vermiştir.
109,Pablo,Sanchez,Erkek,1985-04-03,İspanya,9,Çekimleri zorlu coğrafyalarda gerçekleştiren deneyimli bir sanatçıdır. Toplumsal meselelere duyarlı projelerde yer almıştır. Doğal oyunculuğu ve sahne hakimiyetiyle izleyiciyi büyüler. Sinema ve tiyatro arasında başarılı bir geçiş yapmıştır. Klasik ve modern sinemayı harmanlayan özgün bir yönetmendir.
110,Lea,Meyer,Kadın,1951-06-30,Almanya,10,Derin karakter analizleri ile tanınmaktadır. Klasik ve modern sinemayı harmanlayan özgün bir yönetmendir. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi.
111,Martha,Ramírez,Kadın,1952-05-23,Meksika,4,Çok yönlü sanatçı kimliği ile tanınır. Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi. Klasik ve modern sinemayı harmanlayan özgün bir yönetmendir. Doğal oyunculuğu ve sahne hakimiyetiyle izleyiciyi büyüler.
112,Zeynep,Kaya,Kadın,1984-02-10,Türkiye,0,Yaratıcı yönetmenlik anlayışı ve detaycılığı ile bilinir. Uzun yıllar sinema sektöründe önemli projelerde yer aldı. Her filmi büyük bir titizlikle yönetir.
113,John,Davis,Erkek,1987-01-18,ABD,8,Çok yönlü sanatçı kimliği ile tanınır. Film müziklerine özel önem verir ve işbirlikleri yapar. Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi. Sanat hayatında yenilikçi ve cesur çalışmalarıyla tanınır. Çekimleri zorlu coğrafyalarda gerçekleştiren deneyimli bir sanatçıdır. Yaratıcı yönetmenlik anlayışı ve detaycılığı ile bilinir.
114,Peng,Huang,Erkek,1992-12-01,Çin,5,Her filmi büyük bir titizlikle yönetir. Toplumsal meselelere duyarlı projelerde yer almıştır. Sektörde saygın bir isim olup birçok genç yeteneğe ilham vermiştir. Film endüstrisinde yenilikçi tekniklerle öncü olmuştur.
115,Federica,Ricci,Kadın,1973-09-19,İtalya,3,Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir. Toplumsal meselelere duyarlı projelerde yer almıştır. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi. Drama ve komedi türlerinde ustalığını kanıtlamıştır.
116,Marie,Meyer,Kadın,1968-08-06,Almanya,7,Toplumsal meselelere duyarlı projelerde yer almıştır. Çok yönlü sanatçı kimliği ile tanınır. Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi. Kariyerine genç yaşta başladı ve birçok başarılı projeye imza attı.
117,Elena,Perez,Kadın,1984-01-24,İspanya,2,Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi. Sinema ve tiyatro arasında başarılı bir geçiş yapmıştır. Filmografisi geniş ve farklı türlerde eserleri bulunmakta. Film endüstrisinde yenilikçi tekniklerle öncü olmuştur.
118,Min-Seo,Choi,Kadın,1992-12-24,Güney Kore,8,Toplumsal meselelere duyarlı projelerde yer almıştır. Sinema ve tiyatro arasında başarılı bir geçiş yapmıştır. Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir. Sanat hayatında yenilikçi ve cesur çalışmalarıyla tanınır. Kariyerine genç yaşta başladı ve birçok başarılı projeye imza attı.
119,Ana,Garcia,Kadın,1971-06-20,İspanya,10,Duygusal yoğunluğu yüksek performanslarıyla övgü toplamıştır. Drama ve komedi türlerinde ustalığını kanıtlamıştır. Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi. Kariyerine genç yaşta başladı ve birçok başarılı projeye imza attı.
120,Ravi,Gupta,Erkek,1992-05-19,Hindistan,0,Derin karakter analizleri ile tanınmaktadır. Duygusal yoğunluğu yüksek performanslarıyla övgü toplamıştır. Doğal oyunculuğu ve sahne hakimiyetiyle izleyiciyi büyüler. Yaratıcı yönetmenlik anlayışı ve detaycılığı ile bilinir.
121,Felix,Schulz,Erkek,1955-04-23,Almanya,3,Uluslararası festivallerde aldığı ödüllerle adından söz ettirdi. Derin karakter analizleri ile tanınmaktadır. Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi.
122,Kavita,Sharma,Kadın,1966-09-19,Hindistan,0,Klasik ve modern sinemayı harmanlayan özgün bir yönetmendir. Çalışmaları pek çok genç sinemacıya ilham kaynağı olmuştur. Kariyerine genç yaşta başladı ve birçok başarılı projeye imza attı. Sektörde saygın bir isim olup birçok genç yeteneğe ilham vermiştir. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi.
123,Bo-Ra,Yoon,Diğer,1998-09-28,Güney Kore,2,Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir. Yaratıcı yönetmenlik anlayışı ve detaycılığı ile bilinir. Kariyerine genç yaşta başladı ve birçok başarılı projeye imza attı. Sektörde saygın bir isim olup birçok genç yeteneğe ilham vermiştir. Uluslararası festivallerde aldığı ödüllerle adından söz ettirdi. Her filmi büyük bir titizlikle yönetir.
124,Luca,Romano,Erkek,1966-09-15,İtalya,4,Uluslararası festivallerde aldığı ödüllerle adından söz ettirdi. Çalışmaları pek çok genç sinemacıya ilham kaynağı olmuştur. Duygusal yoğunluğu yüksek performanslarıyla övgü toplamıştır. Kültürel çeşitliliği ve insan hikayelerini işler.
125,Pooja,Patel,Kadın,1957-10-13,Hindistan,2,Doğal oyunculuğu ve sahne hakimiyetiyle izleyiciyi büyüler. Sektörde saygın bir isim olup birçok genç yeteneğe ilham vermiştir. Drama ve komedi türlerinde ustalığını kanıtlamıştır. Uzun yıllar sinema sektöründe önemli projelerde yer aldı.
126,Leon,Meyer,Erkek,1990-01-29,Almanya,4,Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir. Duygusal yoğunluğu yüksek performanslarıyla övgü toplamıştır. Film endüstrisinde yenilikçi tekniklerle öncü olmuştur.
127,Alejandro,González,Erkek,1960-08-09,Meksika,2,Seslendirme ve dublajda da başarılı çalışmaları vardır. Çekimleri zorlu coğrafyalarda gerçekleştiren deneyimli bir sanatçıdır. Sinema ve tiyatro arasında başarılı bir geçiş yapmıştır. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi. Kariyerine genç yaşta başladı ve birçok başarılı projeye imza attı. Film müziklerine özel önem verir ve işbirlikleri yapar.
128,Jennifer,Garcia,Kadın,1969-08-29,ABD,2,Çok yönlü sanatçı kimliği ile tanınır. Çalışmaları pek çok genç sinemacıya ilham kaynağı olmuştur. Film endüstrisinde yenilikçi tekniklerle öncü olmuştur. Derin karakter analizleri ile tanınmaktadır. Toplumsal meselelere duyarlı projelerde yer almıştır. Doğal oyunculuğu ve sahne hakimiyetiyle izleyiciyi büyüler.
129,Lan,Zhou,Kadın,1969-08-05,Çin,1,Çekimleri zorlu coğrafyalarda gerçekleştiren deneyimli bir sanatçıdır. Sinema ve tiyatro arasında başarılı bir geçiş yapmıştır. Film endüstrisinde yenilikçi tekniklerle öncü olmuştur. Filmografisi geniş ve farklı türlerde eserleri bulunmakta. Klasik ve modern sinemayı harmanlayan özgün bir yönetmendir. Kariyerine genç yaşta başladı ve birçok başarılı projeye imza attı.
130,Miyu,Mori,Kadın,1995-05-08,Japonya,8,Uluslararası festivallerde aldığı ödüllerle adından söz ettirdi. Sektörde saygın bir isim olup birçok genç yeteneğe ilham vermiştir. Çekimleri zorlu coğrafyalarda gerçekleştiren deneyimli bir sanatçıdır. Her filmi büyük bir titizlikle yönetir.
131,Olivia,Roberts,Kadın,1993-11-08,İngiltere,7,Her filmi büyük bir titizlikle yönetir. Sanat hayatında yenilikçi ve cesur çalışmalarıyla tanınır. Çekimleri zorlu coğrafyalarda gerçekleştiren deneyimli bir sanatçıdır.
132,Sunita,Reddy,Kadın,1955-03-07,Hindistan,10,Çok yönlü sanatçı kimliği ile tanınır. Uzun yıllar sinema sektöründe önemli projelerde yer aldı. Kültürel çeşitliliği ve insan hikayelerini işler. Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir. Yaratıcı yönetmenlik anlayışı ve detaycılığı ile bilinir.
133,Antonio,Martinez,Erkek,1988-01-05,İspanya,8,Filmografisi geniş ve farklı türlerde eserleri bulunmakta. Doğal oyunculuğu ve sahne hakimiyetiyle izleyiciyi büyüler. Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi.
134,Elias,Meyer,Erkek,1962-02-24,Almanya,6,Kültürel çeşitliliği ve insan hikayelerini işler. Film müziklerine özel önem verir ve işbirlikleri yapar. Filmografisi geniş ve farklı türlerde eserleri bulunmakta. Seslendirme ve dublajda da başarılı çalışmaları vardır. Toplumsal meselelere duyarlı projelerde yer almıştır. Sanat hayatında yenilikçi ve cesur çalışmalarıyla tanınır.
135,Martina,Marino,Kadın,1960-08-23,İtalya,6,Çok yönlü sanatçı kimliği ile tanınır. Drama ve komedi türlerinde ustalığını kanıtlamıştır. Uzun yıllar sinema sektöründe önemli projelerde yer aldı. Film müziklerine özel önem verir ve işbirlikleri yapar.
136,Aya,Ito,Diğer,1991-07-16,Japonya,8,Drama ve komedi türlerinde ustalığını kanıtlamıştır. Film müziklerine özel önem verir ve işbirlikleri yapar. Her filmi büyük bir titizlikle yönetir. Film endüstrisinde yenilikçi tekniklerle öncü olmuştur. Sanat hayatında yenilikçi ve cesur çalışmalarıyla tanınır. Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir.
137,Gabriel,Durand,Diğer,1960-02-15,Fransa,9,Drama ve komedi türlerinde ustalığını kanıtlamıştır. Yaratıcı yönetmenlik anlayışı ve detaycılığı ile bilinir. Filmografisi geniş ve farklı türlerde eserleri bulunmakta.
138,Lucy,Smith,Kadın,1990-01-19,İngiltere,3,Kültürel çeşitliliği ve insan hikayelerini işler. Her filmi büyük bir titizlikle yönetir. Drama ve komedi türlerinde ustalığını kanıtlamıştır.
139,Hao,Wu,Erkek,1955-01-24,Çin,4,Çok yönlü sanatçı kimliği ile tanınır. Klasik ve modern sinemayı harmanlayan özgün bir yönetmendir. Sektörde saygın bir isim olup birçok genç yeteneğe ilham vermiştir. Çalışmaları pek çok genç sinemacıya ilham kaynağı olmuştur.
140,Chiara,Ferrari,Kadın,1971-04-03,İtalya,10,Derin karakter analizleri ile tanınmaktadır. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi. Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir. Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi.
141,Lan,Wu,Diğer,1965-09-17,Çin,7,Film endüstrisinde yenilikçi tekniklerle öncü olmuştur. Duygusal yoğunluğu yüksek performanslarıyla övgü toplamıştır. Seslendirme ve dublajda da başarılı çalışmaları vardır.
142,Pooja,Joshi,Kadın,1978-08-06,Hindistan,2,Kültürel çeşitliliği ve insan hikayelerini işler. Uluslararası festivallerde aldığı ödüllerle adından söz ettirdi. Film müziklerine özel önem verir ve işbirlikleri yapar. Toplumsal meselelere duyarlı projelerde yer almıştır. Doğal oyunculuğu ve sahne hakimiyetiyle izleyiciyi büyüler.
143,Chloé,Leroy,Kadın,1976-12-24,Fransa,0,Derin karakter analizleri ile tanınmaktadır. Toplumsal meselelere duyarlı projelerde yer almıştır. Çekimleri zorlu coğrafyalarda gerçekleştiren deneyimli bir sanatçıdır. Sanat hayatında yenilikçi ve cesur çalışmalarıyla tanınır. Kültürel çeşitliliği ve insan hikayelerini işler. Drama ve komedi türlerinde ustalığını kanıtlamıştır.
144,Tim,Meyer,Erkek,1957-02-03,Almanya,1,Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi. Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir. Kültürel çeşitliliği ve insan hikayelerini işler. Seslendirme ve dublajda da başarılı çalışmaları vardır.
145,Ana,Moreno,Kadın,1956-07-12,İspanya,10,Doğal oyunculuğu ve sahne hakimiyetiyle izleyiciyi büyüler. Yaratıcı yönetmenlik anlayışı ve detaycılığı ile bilinir. Sektörde saygın bir isim olup birçok genç yeteneğe ilham vermiştir. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi.
146,Haruto,Fujimoto,Erkek,1967-01-18,Japonya,3,Kültürel çeşitliliği ve insan hikayelerini işler. Drama ve komedi türlerinde ustalığını kanıtlamıştır. Toplumsal meselelere duyarlı projelerde yer almıştır. Sektörde saygın bir isim olup birçok genç yeteneğe ilham vermiştir.
147,Jonas,Weber,Erkek,1997-11-16,Almanya,4,Çekimleri zorlu coğrafyalarda gerçekleştiren deneyimli bir sanatçıdır. Doğal oyunculuğu ve sahne hakimiyetiyle izleyiciyi büyüler. Her filmi büyük bir titizlikle yönetir. Kariyerine genç yaşta başladı ve birçok başarılı projeye imza attı. Çok yönlü sanatçı kimliği ile tanınır.
148,Min-Seo,Kang,Kadın,1978-09-24,Güney Kore,5,Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi. Klasik ve modern sinemayı harmanlayan özgün bir yönetmendir. Drama ve komedi türlerinde ustalığını kanıtlamıştır. Sanat hayatında yenilikçi ve cesur çalışmalarıyla tanınır. Uzun yıllar sinema sektöründe önemli projelerde yer aldı. Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir.
149,Qiang,Zhang,Diğer,1987-06-19,Çin,3,Drama ve komedi türlerinde ustalığını kanıtlamıştır. Kültürel çeşitliliği ve insan hikayelerini işler. Klasik ve modern sinemayı harmanlayan özgün bir yönetmendir. Doğal oyunculuğu ve sahne hakimiyetiyle izleyiciyi büyüler. Toplumsal meselelere duyarlı projelerde yer almıştır.
150,Stefano,Ricci,Diğer,1980-04-14,İtalya,10,Her filmi büyük bir titizlikle yönetir. Uluslararası festivallerde aldığı ödüllerle adından söz ettirdi. Film endüstrisinde yenilikçi tekniklerle öncü olmuştur. Çok yönlü sanatçı kimliği ile tanınır. Sanat hayatında yenilikçi ve cesur çalışmalarıyla tanınır. Toplumsal meselelere duyarlı projelerde yer almıştır.
151,Min-Jun,Im,Erkek,1998-08-21,Güney Kore,0,Seslendirme ve dublajda da başarılı çalışmaları vardır. Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi. Film müziklerine özel önem verir ve işbirlikleri yapar.
152,Haruto,Tanaka,Erkek,1970-10-06,Japonya,0,Çekimleri zorlu coğrafyalarda gerçekleştiren deneyimli bir sanatçıdır. Her filmi büyük bir titizlikle yönetir. Film endüstrisinde yenilikçi tekniklerle öncü olmuştur. Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi.
153,Lucia,Garcia,Kadın,1993-05-08,İspanya,0,Uzun yıllar sinema sektöründe önemli projelerde yer aldı. Film müziklerine özel önem verir ve işbirlikleri yapar. Çekimleri zorlu coğrafyalarda gerçekleştiren deneyimli bir sanatçıdır. Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir. Toplumsal meselelere duyarlı projelerde yer almıştır. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi.
154,Hina,Kobayashi,Kadın,1988-08-18,Japonya,1,Drama ve komedi türlerinde ustalığını kanıtlamıştır. Yaratıcı yönetmenlik anlayışı ve detaycılığı ile bilinir. Çalışmaları pek çok genç sinemacıya ilham kaynağı olmuştur. Çekimleri zorlu coğrafyalarda gerçekleştiren deneyimli bir sanatçıdır.
155,Lina,Schmidt,Kadın,1973-12-25,Almanya,5,Her filmi büyük bir titizlikle yönetir. Klasik ve modern sinemayı harmanlayan özgün bir yönetmendir. Drama ve komedi türlerinde ustalığını kanıtlamıştır. Sinema ve tiyatro arasında başarılı bir geçiş yapmıştır. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi. Filmografisi geniş ve farklı türlerde eserleri bulunmakta.
156,Giovanni,Colombo,Diğer,1952-11-04,İtalya,6,Toplumsal meselelere duyarlı projelerde yer almıştır. Doğal oyunculuğu ve sahne hakimiyetiyle izleyiciyi büyüler. Çeşitli ödüllere layık görüldü ve eleştirmenlerce beğenildi. Duygusal yoğunluğu yüksek performanslarıyla övgü toplamıştır. Uzun yıllar sinema sektöründe önemli projelerde yer aldı. Uluslararası festivallerde aldığı ödüllerle adından söz ettirdi.
157,Amelia,Johnson,Kadın,1988-12-05,İngiltere,1,Drama ve komedi türlerinde ustalığını kanıtlamıştır. Yaratıcı yönetmenlik anlayışı ve detaycılığı ile bilinir. Sinema ve tiyatro arasında başarılı bir geçiş yapmıştır.
158,Carmen,Sanchez,Kadın,1954-03-06,İspanya,8,Uluslararası festivallerde aldığı ödüllerle adından söz ettirdi. Sektörde saygın bir isim olup birçok genç yeteneğe ilham vermiştir. Uzun yıllar sinema sektöründe önemli projelerde yer aldı.
159,Louise,Robert,Kadın,1985-09-25,Fransa,2,Klasik ve modern sinemayı harmanlayan özgün bir yönetmendir. Kültürel çeşitliliği ve insan hikayelerini işler. Seslendirme ve dublajda da başarılı çalışmaları vardır. Toplumsal meselelere duyarlı projelerde yer almıştır.
160,James,Rodriguez,Erkek,1962-07-22,ABD,5,Kariyerine genç yaşta başladı ve birçok başarılı projeye imza attı. Derin karakter analizleri ile tanınmaktadır. Drama ve komedi türlerinde ustalığını kanıtlamıştır.
161,Edward,Smith,Erkek,1985-08-04,İngiltere,10,Her filmi büyük bir titizlikle yönetir. Doğal oyunculuğu ve sahne hakimiyetiyle izleyiciyi büyüler. Drama ve komedi türlerinde ustalığını kanıtlamıştır. Film endüstrisinde yenilikçi tekniklerle öncü olmuştur. Toplumsal meselelere duyarlı projelerde yer almıştır.
162,Ravi,Das,Erkek,1984-02-06,Hindistan,4,Sinema ve tiyatro arasında başarılı bir geçiş yapmıştır. Filmografisi geniş ve farklı türlerde eserleri bulunmakta. Sanat ve kültür dünyasında önemli bir figür olarak kabul edilir. Sanat hayatında yenilikçi ve cesur çalışmalarıyla tanınır.
163,Pooja,Mehta,Kadın,1963-11-04,Hindistan,5,Filmografisi geniş ve farklı türlerde eserleri bulunmakta. Uzun yıllar sinema sektöründe önemli projelerde yer aldı. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi.
164,Ji-Hoon,Park,Erkek,1974-03-15,Güney Kore,1,Derin karakter analizleri ile tanınmaktadır. Her filmi büyük bir titizlikle yönetir. Toplumsal meselelere duyarlı projelerde yer almıştır. Çekimleri zorlu coğrafyalarda gerçekleştiren deneyimli bir sanatçıdır.
165,Amit,Choudhary,Erkek,1958-01-15,Hindistan,1,Kültürel çeşitliliği ve insan hikayelerini işler. Uzun yıllar sinema sektöründe önemli projelerde yer aldı. Hayatı boyunca pek çok farklı rolde başarılı performanslar sergiledi. Derin karakter analizleri ile tanınmaktadır. Film müziklerine özel önem verir ve işbirlikleri yapar.
